11:54:52.240 -> O3: 1.09 ppm, NOx: 1.05 ppm
11:54:57.349 -> O3: 1.31 ppm, NOx: 1.34 ppm
11:55:02.449 -> O3: 1.21 ppm, NOx: 1.32 ppm
11:55:07.540 -> O3: 1.18 ppm, NOx: 1.13 ppm
11:55:12.604 -> O3: 1.15 ppm, NOx: 1.14 ppm
11:55:17.715 -> O3: 1.07 ppm, NOx: 0.93 ppm
11:55:22.832 -> O3: 1.28 ppm, NOx: 1.34 ppm
11:55:27.901 -> O3: 1.05 ppm, NOx: 0.96 ppm
11:55:33.005 -> O3: 1.19 ppm, NOx: 1.09 ppm
11:55:38.096 -> O3: 1.10 ppm, NOx: 1.11 ppm
11:55:43.150 -> O3: 1.13 ppm, NOx: 1.00 ppm
11:55:48.242 -> O3: 1.28 ppm, NOx: 1.40 ppm
11:55:53.355 -> O3: 1.07 ppm, NOx: 0.98 ppm
11:55:58.446 -> O3: 1.34 ppm, NOx: 1.47 ppm
11:56:03.562 -> O3: 1.13 ppm, NOx: 1.13 ppm
11:56:08.609 -> O3: 1.28 ppm, NOx: 1.34 ppm
11:56:13.738 -> O3: 1.17 ppm, NOx: 1.22 ppm
11:56:18.793 -> O3: 1.18 ppm, NOx: 1.11 ppm
11:56:23.921 -> O3: 1.34 ppm, NOx: 1.56 ppm
11:56:28.995 -> O3: 1.14 ppm, NOx: 1.14 ppm
11:56:34.094 -> O3: 1.16 ppm, NOx: 1.07 ppm
11:56:39.177 -> O3: 1.31 ppm, NOx: 1.43 ppm
11:56:44.294 -> O3: 1.27 ppm, NOx: 1.40 ppm
11:56:49.374 -> O3: 1.15 ppm, NOx: 1.16 ppm
11:50:58.098 -> O3: 1.39 ppm, NOx: 1.70 ppm
11:51:03.178 -> O3: 1.27 ppm, NOx: 1.30 ppm
11:51:08.234 -> O3: 1.42 ppm, NOx: 1.75 ppm
