12:53:14.794 -> 1.61 ppm  |  2.06 ppm
12:53:19.902 -> 1.06 ppm  |  1.89 ppm
12:53:24.972 -> 0.90 ppm  |  1.71 ppm
12:53:30.064 -> 0.99 ppm  |  1.81 ppm
12:53:35.153 -> 1.06 ppm  |  1.89 ppm
12:53:40.261 -> 1.16 ppm  |  2.01 ppm
12:53:45.351 -> 0.56 ppm  |  1.29 ppm
12:53:50.474 -> 0.26 ppm  |  0.69 ppm
12:53:55.518 -> 0.57 ppm  |  1.31 ppm
12:54:00.607 -> 0.19 ppm  |  0.66 ppm
12:54:05.719 -> 0.27 ppm  |  0.75 ppm
12:54:10.798 -> 0.09 ppm  |  0.42 ppm
12:54:15.883 -> 0.09 ppm  |  0.37 ppm
12:54:20.975 -> 0.15 ppm  |  0.39 ppm
